"Sample IDs","MPR","MS","TtT","RAF"
"Pos",20.303605313093,6.70714733333333,20.4254143646409,0.0489586150933189
"Neg",1.12408759124088,1.02919706666667,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.13513513513514,0.914760933333333,48,0.0208333333333333
"1367_2024.25.MN.048_2",1.15510204081633,0.914285733333334,48,0.0208333333333333
"1368_2024.25.MN.049_2",1.1992337164751,1.0421456,48,0.0208333333333333
"1369_2024.25.MN.050_2",1.17623762376238,1.00066,48,0.0208333333333333
"1370_2024.25.MN.051_2",1.15076335877863,0.9923664,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.14285714285714,0.867724933333333,48,0.0208333333333333
"1372_2024.25.MN.053_2",1.15631691648822,0.8650964,48,0.0208333333333333
"1373_2024.25.MN.054_2",1.16265060240964,1.004016,48,0.0208333333333333
"1374_2024.25.MN.055_2",1.19427402862986,0.992501733333333,48,0.0208333333333333
"1375_2024.25.MN.056_2",10.5020408163265,3.43945586666667,39.9176136363636,0.0250515977510497
"1376_2024.25.MN.057_2",1.15444015444015,0.936936933333333,48,0.0208333333333333
"1377_2024.25.MN.058_2",1.09623430962343,0.5634588,48,0.0208333333333333
"1378_2024.25.MN.059_2",1.14613778705637,0.899095333333333,48,0.0208333333333333
"1379_2024.25.MN.060_2",2.25277161862528,0.502586933333333,42.902,0.0233089366463102
"1381_2024.25.MN.061_3",1.15106382978723,0.882269466666667,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.16435643564356,1.01386133333333,48,0.0208333333333333
"1383_2024.25.MN.063_3",6.85245901639344,3.1448088,46.1947115384615,0.0216474996097206
"1384_2024.25.MN.064_3",1.16631130063966,0.9580668,48,0.0208333333333333
"1385_2024.25.MN.065_3",1.11572052401747,0.756914133333333,48,0.0208333333333333
"1386_2024.25.MN.066_3",1.11136890951276,0.631090533333333,48,0.0208333333333333
"1387_2024.25.MN.067_3",8.15098468271335,2.32531,32.8231132075472,0.0304663361356614
"1388_2024.25.MN.068_3",1.0989010989011,0.934798533333333,48,0.0208333333333333
"Pos",18.0084745762712,5.39887,11.2759955752212,0.088683965271987
"Neg",1.22068965517241,1.22298853333333,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.16279069767442,1.07751933333333,48,0.0208333333333333
"1367_2024.25.MN.048_2",1.17416829745597,0.9941292,48,0.0208333333333333
"1368_2024.25.MN.049_2",1.20238095238095,1.0555556,48,0.0208333333333333
"1369_2024.25.MN.050_2",1.17367458866545,1.182206,48,0.0208333333333333
"1370_2024.25.MN.051_2",1.20392156862745,1.01437906666667,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.18219461697723,0.946859866666667,48,0.0208333333333333
"1372_2024.25.MN.053_2",1.18913480885312,1.01140173333333,48,0.0208333333333333
"1373_2024.25.MN.054_2",1.234404536862,1.15437933333333,48,0.0208333333333333
"1374_2024.25.MN.055_2",17.8105646630237,5.2944748,36.2070895522388,0.0276189003967641
"1375_2024.25.MN.056_2",1.18785578747628,0.989247333333333,48,0.0208333333333333
"1376_2024.25.MN.057_2",1.20661157024793,0.980716266666667,48,0.0208333333333333
"1377_2024.25.MN.058_2",1.087890625,0.583333333333333,48,0.0208333333333333
"1378_2024.25.MN.059_2",1.17446808510638,0.9702128,48,0.0208333333333333
"1379_2024.25.MN.060_2",4.49290060851927,1.16294786666667,43.5339285714286,0.0229705894417326
"1381_2024.25.MN.061_3",1.18908382066277,1.05782973333333,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.20982986767486,1.0989288,48,0.0208333333333333
"1383_2024.25.MN.063_3",1.19874476987448,0.937238533333333,48,0.0208333333333333
"1384_2024.25.MN.064_3",1.18776371308017,0.998593466666667,48,0.0208333333333333
"1385_2024.25.MN.065_3",1.1840354767184,0.975609733333333,48,0.0208333333333333
"1386_2024.25.MN.066_3",1.11973392461197,0.739098266666667,48,0.0208333333333333
"1387_2024.25.MN.067_3",6.3099173553719,2.13223146666667,43.4419642857143,0.0230192169355667
"1388_2024.25.MN.068_3",1.05465587044534,0.801619466666667,48,0.0208333333333333
"Pos",13.0904522613065,3.437186,16.1521084337349,0.0619114219114219
"Neg",1.21858864027539,1.28284573333333,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.21818181818182,1.19757573333333,48,0.0208333333333333
"1367_2024.25.MN.048_2",1.17768595041322,0.9421488,48,0.0208333333333333
"1368_2024.25.MN.049_2",1.20670391061453,1.06021106666667,48,0.0208333333333333
"1369_2024.25.MN.050_2",1.23035714285714,1.20476186666667,48,0.0208333333333333
"1370_2024.25.MN.051_2",1.22332015810277,1.04611333333333,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.20421052631579,0.901052666666667,48,0.0208333333333333
"1372_2024.25.MN.053_2",1.19391634980989,1.01647653333333,48,0.0208333333333333
"1373_2024.25.MN.054_2",1.25405405405405,1.23003,48,0.0208333333333333
"1374_2024.25.MN.055_2",17.2416812609457,6.02451826666667,30.1662234042553,0.0331496583645581
"1375_2024.25.MN.056_2",1.24196597353497,1.11657213333333,48,0.0208333333333333
"1376_2024.25.MN.057_2",1.23091603053435,1.086514,48,0.0208333333333333
"1377_2024.25.MN.058_2",1.1147859922179,0.570687466666667,48,0.0208333333333333
"1378_2024.25.MN.059_2",1.22264875239923,1.10556626666667,48,0.0208333333333333
"1379_2024.25.MN.060_2",1.43313373253493,0.242182266666667,48,0.0208333333333333
"1381_2024.25.MN.061_3",1.19587628865979,0.940206133333333,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.20765027322404,1.04918026666667,48,0.0208333333333333
"1383_2024.25.MN.063_3",1.18548387096774,0.983870933333333,48,0.0208333333333333
"1384_2024.25.MN.064_3",1.1937984496124,1.07493546666667,48,0.0208333333333333
"1385_2024.25.MN.065_3",6.65297741273101,2.162902,41.9612299465241,0.0238315226049001
"1386_2024.25.MN.066_3",1.11546840958606,0.700072666666667,48,0.0208333333333333
"1387_2024.25.MN.067_3",1.0880829015544,0.138169333333333,48,0.0208333333333333
"1388_2024.25.MN.068_3",1.09,0.16,48,0.0208333333333333
"Pos",10.9519867549669,3.84547466666667,26.3344827586207,0.0379730260573524
"Neg",1.21525423728814,1.22259893333333,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.206,1.02666666666667,48,0.0208333333333333
"1367_2024.25.MN.048_2",1.17647058823529,1.02745093333333,48,0.0208333333333333
"1368_2024.25.MN.049_2",1.23003802281369,1.04436,48,0.0208333333333333
"1369_2024.25.MN.050_2",1.22896281800391,1.012394,48,0.0208333333333333
"1370_2024.25.MN.051_2",1.21276595744681,1.00580266666667,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.20194174757282,1.03818773333333,48,0.0208333333333333
"1372_2024.25.MN.053_2",1.26779026217228,1.14357053333333,48,0.0208333333333333
"1373_2024.25.MN.054_2",1.21111111111111,1.04938266666667,48,0.0208333333333333
"1374_2024.25.MN.055_2",1.20675105485232,0.908579466666667,48,0.0208333333333333
"1375_2024.25.MN.056_2",1.22178988326848,1.05577173333333,48,0.0208333333333333
"1376_2024.25.MN.057_2",1.22702702702703,1.04024026666667,48,0.0208333333333333
"1377_2024.25.MN.058_2",6.26611226611227,2.09563413333333,36.5739436619718,0.0273418696447482
"1378_2024.25.MN.059_2",1.19373776908023,0.936725333333333,48,0.0208333333333333
"1379_2024.25.MN.060_2",3.97830374753452,0.5364892,35.4047619047619,0.0282447881640888
"1381_2024.25.MN.061_3",1.201171875,1.01562506666667,48,0.0208333333333333
"1382_2024.25.MN.062_3",1.23282442748092,1.00254453333333,48,0.0208333333333333
"1383_2024.25.MN.063_3",1.18982387475538,1.0150032,48,0.0208333333333333
"1384_2024.25.MN.064_3",1.21301775147929,1.1071664,48,0.0208333333333333
"1385_2024.25.MN.065_3",25.3035343035343,7.1545392,25.7638888888889,0.0388140161725067
"1386_2024.25.MN.066_3",1.12826086956522,0.704347866666667,48,0.0208333333333333
"1387_2024.25.MN.067_3",1.07712082262211,0.1405312,48,0.0208333333333333
"1388_2024.25.MN.068_3",4.20719178082192,1.55479453333333,36.6163141993958,0.0273102310231023
"Pos",18.4205298013245,4.18984546666667,17.53,0.0570450656018254
"Neg",1.23448275862069,1.24137933333333,48,0.0208333333333333
"1366_2024.25.MN.047_2",1.21904761904762,1.06666666666667,48,0.0208333333333333
"1367_2024.25.MN.048_2",1.23461538461538,1.08717946666667,48,0.0208333333333333
"1368_2024.25.MN.049_2",1.22661870503597,1.11270986666667,48,0.0208333333333333
"1369_2024.25.MN.050_2",1.24954128440367,1.0470948,48,0.0208333333333333
"1370_2024.25.MN.051_2",1.25423728813559,1.05963586666667,48,0.0208333333333333
"1371_2024.25.MN.052_2",1.20224719101124,1.08614226666667,48,0.0208333333333333
"1372_2024.25.MN.053_2",5.59420289855072,3.15942026666667,46.7698630136986,0.0213812899068596
"1373_2024.25.MN.054_2",1.21763602251407,0.963102,48,0.0208333333333333
"1374_2024.25.MN.055_2",1.26615969581749,1.11533586666667,48,0.0208333333333333
"1375_2024.25.MN.056_2",1.24859813084112,1.05669786666667,48,0.0208333333333333
"1376_2024.25.MN.057_2",1.22452830188679,1.06415093333333,48,0.0208333333333333
